CarId;Ratio;MatchedId;MatchedBrand;MatchedModel;MatchedGeneration;MatchedVersion
105342;0.592760181;644;BMW;X6;F16(2014-2019);M(2014-2019)
114485;0.6263736264;613;BMW;X2;F39(2017-2023);Crossover(2017-2023)
114485;0.6021220159;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
88292;0.6366047745;834;Dacia;Duster;III(2024-teraz);
88292;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
98104;0.7165991903;4540;Toyota;Proace;II(2017-teraz);VersoLong(2017-teraz)
98104;0.6923076923;4539;Toyota;Proace;II(2017-teraz);VersoMedium(2017-teraz)
99061;0.6581196581;613;BMW;X2;F39(2017-2023);Crossover(2017-2023)
99061;0.6153846154;607;BMW;X1;F48(2015-2022);Crossover(2015-2019)
99059;0.6923076923;641;BMW;X6;G06(2019-teraz);SUV(2019-teraz)
99059;0.6703296703;642;BMW;X6;G06(2019-teraz);MSUV(2019-teraz)
98772;0.6703296703;4455;Toyota;Corolla;XII(2019-teraz);SedanFacelifting(2022-teraz)
98772;0.653092006;4454;Toyota;Corolla;XII(2019-teraz);TSKombiFacelifting(2022-teraz)
101008;0.5970695971;611;BMW;X2;U10(2023-teraz);SUVM(2023-teraz)
101008;0.5970695971;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
80216;0.6923076923;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
80216;0.6581196581;644;BMW;X6;F16(2014-2019);M(2014-2019)
107546;0.8290598291;4039;Renault;Scenic;III(2009-2016);Van(2009-2011)
107546;0.735966736;4036;Renault;Scenic;III(2009-2016);XMOD(2013-2016)
110772;0.7737556561;4582;Toyota;Yaris;III(2011-2020);VAN3d(2017-2020)
110772;0.7737556561;4583;Toyota;Yaris;III(2011-2020);VAN5d(2017-2020)
102707;0.8461538462;3868;Renault;Clio;IV(2012-2019);RS(2013-2016)
102707;0.7582417582;3867;Renault;Clio;IV(2012-2019);Societe(2013-2016)
103927;0.7165991903;4532;Toyota;Prius;III(2009-2020);Hatchback(2009-2011)
103927;0.6837606838;4525;Toyota;Prius;V(2023-teraz);
<NULL>;0.3076923077;3853;Renault;Austral;;
<NULL>;0.2977667494;5608;Intrall;Lublin 3;;
<NULL>;0.3076923077;3853;Renault;Austral;;
<NULL>;0.2977667494;5608;Intrall;Lublin 3;;
112238;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
112238;0.6366047745;834;Dacia;Duster;III(2024-teraz);
82150;0.8290598291;4039;Renault;Scenic;III(2009-2016);Van(2009-2011)
82150;0.8269230769;4040;Renault;Scenic;II(2003-2009);
86458;0.6153846154;420;BMW;iX3;;
86458;0.6153846154;617;BMW;X3;G01(2017-teraz);SUV(2017-2021)
53445;0.7737556561;4582;Toyota;Yaris;III(2011-2020);VAN3d(2017-2020)
53445;0.7737556561;4583;Toyota;Yaris;III(2011-2020);VAN5d(2017-2020)
73836;0.7737556561;4582;Toyota;Yaris;III(2011-2020);VAN3d(2017-2020)
73836;0.7737556561;4583;Toyota;Yaris;III(2011-2020);VAN5d(2017-2020)
109732;0.7165991903;4532;Toyota;Prius;III(2009-2020);Hatchback(2009-2011)
109732;0.6837606838;4525;Toyota;Prius;V(2023-teraz);
109803;0.5934065934;617;BMW;X3;G01(2017-teraz);SUV(2017-2021)
109803;0.5726495726;607;BMW;X1;F48(2015-2022);Crossover(2015-2019)
76324;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
76324;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
76486;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
76486;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
90671;0.6366047745;834;Dacia;Duster;III(2024-teraz);
90671;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
91524;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
91524;0.6366047745;834;Dacia;Duster;III(2024-teraz);
92462;0.6366047745;834;Dacia;Duster;III(2024-teraz);
92462;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
96649;0.6366047745;834;Dacia;Duster;III(2024-teraz);
96649;0.6153846154;837;Dacia;Duster;I(2010-2017);Van(2016-2017)
114129;0.6153846154;2256;Lexus;GS;IV(2012-2018);Sedan(2012-2015)
114129;0.6;2235;Lexus;NX;I(2014-2021);SUV(2014-2017)
89575;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
89575;0.6366047745;834;Dacia;Duster;III(2024-teraz);
89425;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
89425;0.6366047745;834;Dacia;Duster;III(2024-teraz);
89576;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
89576;0.6366047745;834;Dacia;Duster;III(2024-teraz);
86773;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
86773;0.6366047745;834;Dacia;Duster;III(2024-teraz);
108678;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
108678;0.6366047745;834;Dacia;Duster;III(2024-teraz);
110902;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
110902;0.6366047745;834;Dacia;Duster;III(2024-teraz);
109319;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
109319;0.6366047745;834;Dacia;Duster;III(2024-teraz);
109318;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
109318;0.6366047745;834;Dacia;Duster;III(2024-teraz);
100618;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
100618;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
92041;0.592760181;644;BMW;X6;F16(2014-2019);M(2014-2019)
92041;0.5587044534;617;BMW;X3;G01(2017-teraz);SUV(2017-2021)
73988;0.7830374753;3955;Renault;Megane;III(2008-2016);Coupe(2008-2011)
73988;0.7316636852;3953;Renault;Megane;III(2008-2016);Grandtour(2009-2011)
71745;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
71745;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
72637;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
72637;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
75211;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
75211;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
81158;0.7493796526;836;Dacia;Duster;II(2017-teraz);SUV(2017-2021)
81158;0.6703296703;835;Dacia;Duster;II(2017-teraz);SUVFacelifting(2021-teraz)
116290;0.7596153846;965;Fiat;Ducato;IV(2014-teraz);Furgon(2014-teraz)
116290;0.6769230769;976;Fiat;Ducato;I(1981-1993);
109840;0.4858299595;626;BMW;X4;G01(2014-2017);
109840;0.4524886878;418;BMW;iX1;;
108781;0.5970695971;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
108781;0.5970695971;642;BMW;X6;G06(2019-teraz);MSUV(2019-teraz)
66281;0.6503496503;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
66281;0.6503496503;634;BMW;X5;F15(2013-2018);SUV(2013-2018)
86321;0.5652173913;631;BMW;X5;G05(2018-teraz);SUV(2018-teraz)
86321;0.5512820513;632;BMW;X5;G05(2018-teraz);MSUV(2018-teraz)
110273;0.6923076923;610;BMW;X2;U10(2023-teraz);SUV(2023-teraz)
110273;0.6703296703;611;BMW;X2;U10(2023-teraz);SUVM(2023-teraz)
92937;0.5698005698;4525;Toyota;Prius;V(2023-teraz);
92937;0.5698005698;4534;Toyota;Prius;I(1997-2003);
84638;0.6837606838;3881;Renault;Clio;I(1990-1998);
84638;0.6703296703;3901;Renault;Kangoo;II(2008-2021);Combi(2015-2019)
112257;0.5970695971;620;BMW;X3;F25(2010-2017);SUV(2010-2016)
112257;0.5970695971;634;BMW;X5;F15(2013-2018);SUV(2013-2018)
106191;0.7142857143;4530;Toyota;Prius;III(2009-2020);Prius+(2013-2016)
106191;0.7041420118;4598;Toyota;Auris;II(2013-2018);Hatchback5d(2013-2015)
108749;0.7206477733;4458;Toyota;Corolla;XII(2019-teraz);Sedan(2019-2022)
108749;0.6923076923;4457;Toyota;Corolla;XII(2019-teraz);TSKombi(2019-2022)
109549;0.6703296703;4455;Toyota;Corolla;XII(2019-teraz);SedanFacelifting(2022-teraz)
109549;0.653092006;4454;Toyota;Corolla;XII(2019-teraz);TSKombiFacelifting(2022-teraz)
113807;0.7103109656;4457;Toyota;Corolla;XII(2019-teraz);TSKombi(2019-2022)
113807;0.7008547009;4458;Toyota;Corolla;XII(2019-teraz);Sedan(2019-2022)
86118;0.6837606838;3881;Renault;Clio;I(1990-1998);
